name,HA_segID,Subtype,original_clade,Clade_group,Domestic_Status,zoonotic_case,date
H5N1|A/blow_fly/Kyoto/93/2004|AB212649|2004--,AB212649,H5N1,2.5,others,Wild,non-zoonotic,2004--
H5N1|A/Hanoi/30408/2005|AB239125|2005--,AB239125,H5N1,1,others,Human,zoonotic,2005--
H5N1|A/Shanghai/1/2006|AB462295|2006--,AB462295,H5N1,2002.3.4,2002.3.4,Human,zoonotic,2006--
H5N3|A/whistling_swan/Shimane/580/2002|AB535131|2002-12-07,AB535131,H5N3,EA-nonGsGD,EA-nonGsGD,Wild,nonGsGd,2002.12.7
H5N1|A/muscovy_duck/Vietnam/LBM57/2011_|AB741558|2011-11-22,AB741558,H5N1,2.3.2.1a,2.3.2.1,Domestic,non-zoonotic,2011.11.22
H5N1|A/Hong_Kong/156/97|AF036356|1997--,AF036356,H5N1,0,0,Human,zoonotic,1997--
H5N1|A/Hong_Kong/481/97|AF084279|1997--,AF084279,H5N1,0,0,Human,zoonotic,1997--
H5N1|A/Hong_Kong/483/1997|AF084280|1997--,AF084280,H5N1,0,0,Human,zoonotic,1997--
H5N1|A/Hong_Kong/488/97|AF102672|1997--,AF102672,H5N1,0,0,Human,zoonotic,1997--
H5N1|A/Hong_Kong/516/97|AF102673|1997--,AF102673,H5N1,0,0,Human,zoonotic,1997--
H5N1|A/Hong_Kong/507/97|AF102675|1997--,AF102675,H5N1,0,0,Human,zoonotic,1997--
H5N1|A/HongKong/97/98|AF102676|1998--,AF102676,H5N1,0,0,Human,zoonotic,1998--
H5N1|A/Hong_Kong/491/97|AF102677|1997--,AF102677,H5N1,0,0,Human,zoonotic,1997--
H5N1|A/Hong_Kong/542/97|AF102678|1997--,AF102678,H5N1,0,0,Human,zoonotic,1997--
H5N1|A/Hong_Kong/503/97|AF102679|1997--,AF102679,H5N1,0,0,Human,zoonotic,1997--
H5N1|A/Hong_Kong/532/1997|AF102680|1997--,AF102680,H5N1,0,0,Human,zoonotic,1997--
H5N1|A/Hong_Kong/485/1997|AF102681|1997--,AF102681,H5N1,0,0,Human,zoonotic,1997--
H5N1|A/Hong_Kong/514/97|AF102682|1997--,AF102682,H5N1,0,0,Human,zoonotic,1997--
H5N1|A/stone_marten/Germany/R747/2006|AM492165|2006--,AM492165,H5N1,2.2,2.2,Mammals,zoonotic,2006--
H5N1|A/Thailand/1_KAN-1_/2004|AY555150|2004--,AY555150,H5N1,1,others,Human,zoonotic,2004--
H5N1|A/HK/212/03_|AY575869|2003--,AY575869,H5N1,0,0,Human,zoonotic,2003--
H5N1|A/Thailand/3_SP-83_/2004|AY577314|2004--,AY577314,H5N1,1,others,Human,zoonotic,2004--
H5N1|A/Thailand/4_SP-528_/2004|AY626143|2004--,AY626143,H5N1,1,others,Human,zoonotic,2004--
H5N1|A/Thailand/5_KK-494_/2004|AY627885|2004--,AY627885,H5N1,1,others,Human,zoonotic,2004--
H5N1|A/swine/Shandong/2/03|AY646424|2003--,AY646424,H5N1,0,0,Mammals,zoonotic,2003--
H5N1|A/Viet_Nam/1203/2004|AY651334|2004--,AY651334,H5N1,1,others,Human,zoonotic,2004--
H5N1|A/Viet_Nam/3046/2004|AY651335|2004--,AY651335,H5N1,1,others,Human,zoonotic,2004--
H5N1|A/Viet_Nam/3062/2004|AY651336|2004--,AY651336,H5N1,1,others,Human,zoonotic,2004--
H5N1|A/Thailand/LFPN-2004/2004|AY679514|2004--,AY679514,H5N1,1,others,Human,zoonotic,2004--
H5N1|A/swine/Fujian/1/2003|AY747609|2003--,AY747609,H5N1,0,0,Mammals,zoonotic,2003--
H5N1|A/swine/Fujian/F1/2001|AY747617|2001--,AY747617,H5N1,0,0,Mammals,zoonotic,2001--
H5N1|A/Indonesia/CDC523/2006|CY014311|2006-03-23,CY014311,H5N1,2.1.3.2,others,Human,zoonotic,2006.3.23
H5N1|A/Indonesia/CDC582/2006|CY014384|2006-04-26,CY014384,H5N1,2.1.3.2,others,Human,zoonotic,2006.4.26
H5N1|A/Indonesia/CDC610/2006|CY014393|2006-05-11,CY014393,H5N1,2.1.3.2,others,Human,zoonotic,2006.5.11
H5N1|A/Indonesia/CDC623/2006|CY014401|2006-05-18,CY014401,H5N1,2.1.3.2,others,Human,zoonotic,2006.5.18
H5N1|A/Indonesia/CDC624E/2006|CY014425|2006-05-19,CY014425,H5N1,2.1.3.2,others,Human,zoonotic,2006.5.19
H5N1|A/Indonesia/CDC625/2006|CY014433|2006-05-21,CY014433,H5N1,2002.1.2,others,Human,zoonotic,2006.5.21
H5N1|A/Indonesia/CDC634/2006|CY014441|2006-05-23,CY014441,H5N1,2.1.3.2,others,Human,zoonotic,2006.5.23
H5N1|A/Indonesia/CDC669/2006|CY014481|2006-06-13,CY014481,H5N1,2.1.3.2,others,Human,zoonotic,2006.6.13
H5N1|A/Indonesia/CDC699/2006|CY014497|2006-07-06,CY014497,H5N1,2.1.3.2,others,Human,zoonotic,2006.7.6
H5N1|A/Indonesia/CDC742/2006|CY014537|2006-08-07,CY014537,H5N1,2.1.3.2,others,Human,zoonotic,2006.8.7
