HA_segID,RBS_23SLN,RBS_26SLN,ENZ_23SLN,ENZ_26SLN,SBS_23SLN,SBS_26SLN,multi_23,multi_26
EPI2767328,-38.06325876,-41.24719595,-31.83968,-35.82969,-31.7524,-37.2284,1211.921979,1477.874244
EPI760138,-27.36536134,-28.19384824,-31.36018,-22.21871,-29.83343,-26.28789,858.1826574,626.4309378
EPI1842225,-35.97582076,-40.56876453,-32.95401,-37.08423,-31.98803,-37.50924,1185.547557,1504.461395
EPI1918712,-37.99115183,-41.66455879,-24.84443,-23.38787,-34.34788,-33.26131,943.8685123,974.4452846
CY014425,-36.54370465,-41.31672638,-19.93748,-28.38448,-32.96946,-33.13888,728.5893806,1172.753794
EPI487525,-38.25131049,-40.95965939,-20.88518,-28.69328,-32.87869,-33.0111,798.8855048,1175.266976
EPI463648,-38.26281086,-40.95957746,-20.31024,-28.27139,-32.61791,-32.71649,777.1268716,1157.984189
CY098648,-38.65395936,-40.60478305,-20.78781,-28.96116,-33.23785,-33.37948,803.5311629,1175.961619
DQ371929,-43.00168248,-43.05586102,-20.66685,-28.80672,-33.02548,-33.25547,888.7093216,1240.298133
CY098723,-38.57278034,-40.61478517,-20.47678,-28.60057,-32.91138,-33.18098,789.846337,1161.606006
MW333350,-37.5228473,-41.31537151,-35.93775,-29.99435,-38.932,-39.09675,1348.486706,1239.227713
MW333166,-38.50706791,-41.72107813,-35.85307,-29.77282,-38.93747,-39.09155,1380.596601,1242.154149
EPI590570,-38.570546,-41.0196587,-36.7620445,-30.1735498,-40.0811537,-39.9735268,1417.932128,1237.708715
MZ565212,-14.94514438,-26.78585651,-36.8748269,-29.967323,-38.6635272,-38.6742366,551.099612,802.7004139
EPI837504,-26.4508441,-34.29295685,-37.32301,-30.86656,-16.24517,-23.11817,987.2251189,1058.50561
EPI3358339,-25.07917501,-39.21128727,-33.04744,-29.1708,-39.17739,-32.52568,828.8025314,1143.824619
EPI3549853,-38.20807221,-41.51281918,-34.35503,-27.21161,-34.77422,-37.17672,1312.639467,1129.630646
EPI3236352,-38.20807221,-41.51281918,-31.50542,-27.80996,-34.74358,-37.18024,1203.761362,1154.469841
EPI3650014,-38.09873041,-41.52476078,-34.24916,-27.24755,-40.83411,-42.43212,1304.849514,1131.447996
EPI2398411,-38.06618309,-41.40248023,-34.27466,-27.26093,-40.90527,-42.55933,1304.705483,1128.670115
EPI2900132,-38.66764415,-41.48752309,-34.09925,-27.07028,-33.13948,-28.8348,1318.537665,1123.078867
EPI2742643,-37.84766631,-41.21437793,-34.30524,-23.76745,-42.1604,-40.48963,1298.373276,979.5606667
EPI3311810,-38.28264565,-41.71369978,-34.13987,-23.64999,-42.07956,-40.44772,1306.964546,986.5285827
EPI2733738,-38.15673007,-41.59739471,-30.84572,-21.59022,-20.23609,-17.33994,1176.971812,898.0969032
EPI353364,-38.23871823,-40.70271787,-31.4343,-22.32548,-37.45052,-32.18252,1202.00734,908.7077138
EPI164240,-43.00168248,-43.05586102,-31.20019,-22.10253,-37.44957,-32.25163,1341.660664,951.6434599
EPI3509817,-39.51696535,-43.61904149,-34.36989,-24.05896,-38.64987,-41.74338,1358.193752,1049.428774
EPI3312578,-38.22670859,-41.57353661,-34.12862,-23.69368,-42.18435,-40.50048,1304.624811,985.0300729
EPI3543974,-38.06378368,-41.43921906,-34.12905,-23.69364,-42.16872,-40.49788,1299.080776,981.8459383
EPI3411914,-37.84008973,-41.0360329,-34.12218107,-23.67827917,-40.49317924,-42.17091958,1291.186393,971.662643
EPI510426,-38.22517638,-40.75102476,-32.34156,-21.43122,-37.42449,-32.12389,1236.261835,873.3441769
KT220534,-32.98510186,-34.62777241,-31.41201,-22.25261,-37.08052,-31.6945,1036.128349,770.5583146
MW676346,-35.63382244,-40.19847549,-31.40096,-22.25261,-29.86621,-26.32957,1118.936233,894.5209977
